"","GeneSymbol","A_plus_1","A_plus_2","A_plus_3","A_minus_1","A_minus_2","A_minus_3","B_plus_1","B_plus_2","B_plus_3","B_minus_1","B_minus_2","B_minus_3","A_plus_1_48","A_plus_2_48","A_plus_3_48","A_minus_1_48","A_minus_2_48","A_minus_3_48"
"688","EIF3G",0.979329751444137,3.21524260815555,11.1094296175605,7.33503380640547,3.7785333520741,4.45916000870099,4.95490636383538,4.287074458132,4.45916000870099,7.505011598297,7.3547085288448,4.45916000870099,3.78960976155798,3.49941632713119,4.45916000870099,8.48826517919578,11.4816887852557,4.45916000870099
"689","RNMT",4.03336087263454,5.05000249208614,4.38676700576669,8.33093056175874,8.77189330383997,4.38676700576669,3.1012947442013,3.9395126093743,4.38676700576669,6.7187306508201,7.09875485879772,11.5230298175539,7.79327666041699,3.25371892695037,4.38676700576669,3.24139095022302,5.21200330643062,4.38676700576669
"690","ANP32B",7.3158,7.52707,0,9.94519,7.48641,0,7.56738,6.67759,0,8.15514,9.59727,0,7.47078,7.03766,0,8.08965,13.1301,0
"691","OAT",9.43398149921974,8.67835943542586,4.60062803350274,4.93369247243697,3.35697857449924,4.60062803350274,7.44737360447362,5.47194671291846,4.60062803350274,4.86442451286914,5.05325968958445,4.60062803350274,3.36469755282023,4.37118150898324,9.76350240837188,3.86971339516459,6.55278012979617,4.60062803350274
"692","CTTN",2.94557484737062,4.64359052359876,3.38797692893164,7.08853544860135,4.29247855499023,3.38797692893164,4.75140678990903,4.7308765969426,8.20468656686601,6.47107535605668,5.90316502953133,3.38797692893164,3.84084302509654,4.0854266491202,9.44268285676579,7.75574589360752,9.28168964057014,6.43121408091781
"693","BLVRB",9.48866671110802,9.67841434836383,1.65561761124819,-1.0249875477956,2.55561580381398,11.8991838524568,8.89593589853019,8.8695405768599,1.65561761124819,2.15442673979919,0.713522219769561,1.65561761124819,4.69903364478749,4.6910159147855,4.57390055262349,6.71347022372939,4.56499866400444,17.0615518079565
"694","SDHB",4.47804090598477,4.84747871968997,2.55593094971399,5.23584099411112,3.43417877674773,2.55593094971399,3.92997995623737,5.81450849650351,2.55593094971399,4.16424440009116,2.98298919693935,27.2395094192702,6.14741793266929,5.49043021854745,2.55593094971399,6.63129902458319,8.11342985439882,2.55593094971399
"695","BRD4",7.96293,8.48442,0,10.3265,10.732,0,8.1949,9.48804,0,9.29449,9.93855,0,8.4866,9.55426,0,7.52825,0.00906988,0
"696","RAD50",2.60545845616071,4.34443384906472,6.85888945870771,3.26851782002469,4.56821923819161,2.7090890540839,9.64180301107792,8.066489217883,20.0578082101264,5.54771929039625,5.18754001752024,2.7090890540839,5.50878607171977,8.63682485535417,2.7090890540839,4.93073039143348,0.628750776751946,2.7090890540839
"697","CNP",4.85445158555484,4.1782792424849,1.71522676420545,5.89951693171103,6.18778270973464,1.71522676420545,4.80434571279393,4.43704555866598,10.3452293680401,6.85868649599137,4.48810159484084,22.5544612734806,4.06669182599564,3.44552529313733,1.71522676420545,4.33640458108582,7.90112313660321,1.71522676420545
"698","RALY",8.92476,8.63658,0,7.94297,9.31493,0,8.37565,7.94532,0,5.28919,5.9482,0,8.06197,9.16953,0,8.16884,12.2221,0
"699","RBM27",6.59367,9.22409,0,9.77341,7.85078,0,7.69992,7.60455,0,10.0684,8.37111,0,6.90335,9.92656,0,6.34053,9.64361,0
"700","NUF2",8.49144,6.36487,0,7.5513,8.04085,0,9.58016,8.10949,0,7.7632,11.1063,0,8.57717,4.72848,0,9.801,9.88576,0
"701","MTREX",3.61862735068047,4.06839129518132,4.32710365350824,9.7135529002701,6.7470401936197,4.32710365350824,5.72788308113473,5.67838196843997,12.026516286014,4.32446326226493,6.74754789811144,4.32710365350824,2.62015895915563,3.44442247482863,4.32710365350824,7.11494366341156,6.54297285290894,4.32710365350824
"702","VDAC2",4.84333983112081,6.27857255984197,4.51393923454504,5.14943653388841,4.02346799006806,4.84676000510983,7.44055207885967,4.48866903093302,4.51393923454504,3.72050336975667,4.31541336759985,4.51393923454504,5.39214268798092,6.80541341360853,9.91807520272432,7.17108769402264,7.50375496450649,4.51393923454504
"703","SPCS2",8.1294,12.3889,0,7.97294,10.8177,0,8.102,11.208,0,7.42932,9.31023,0,8.21968,7.2219,0,9.19113,0.00887882,0
"704","ACO2",7.36074007315104,6.14750907591919,4.47774138769378,4.08569594999879,3.26776854330175,4.47774138769378,4.6974425236065,6.66342080922329,6.83425696570716,6.3152004946329,6.68972883754444,4.47774138769378,7.34404613258962,6.84118157420617,4.47774138769378,4.11198410927367,4.31643802497755,7.66925829442289
"705","VDAC3",3.86440107222766,4.69744618666931,4.23328417359778,4.17415586758412,2.86062885672431,4.23328417359778,6.57766784221321,4.98672984927823,4.23328417359778,3.39460581987768,4.38085085551714,4.23328417359778,8.18330738036791,4.82601670338439,12.8465829426604,6.76396943098874,11.3161731607106,4.23328417359778
